#{"t_start": 1765252472.6392884, "env_id": "None"}
r,l,t
-55.9,60,10.577418
-57.2,73,10.626772
-54.8,49,10.663292
-56.9,70,10.699296
98.9,12,10.704296
98.8,13,10.710296
-56.2,63,10.742294
-57.4,75,10.782577
-56.2,63,10.823639
-57.7,78,10.869143
-56.5,66,10.903062
-61.0,111,10.959582
-58.3,84,11.001716
-54.3,44,11.023716
-60.2,103,11.085459
-57.8,79,11.128459
-55.5,56,11.153966
-56.3,64,11.183966
-57.6,77,11.231574
-56.6,67,11.270082
-57.6,77,11.314097
-55.6,57,11.354201
-55.6,57,11.387197
98.7,14,11.395198
-57.2,73,11.440201
-56.6,67,11.475705
-55.7,58,11.503705
-58.1,82,11.545708
-56.8,69,11.587606
-60.1,102,11.65162
-56.4,65,11.700216
-60.3,104,11.760318
-56.8,69,11.794322
-58.0,81,11.83532
-56.0,61,11.867445
98.8,13,11.876445
-54.4,45,11.904675
-58.8,89,11.95044
-56.8,69,11.992943
-54.8,49,12.020662
-57.3,74,12.057329
-55.5,56,12.083334
-56.2,63,12.127715
-58.4,85,12.173224
-59.5,96,12.221292
-56.3,64,12.2528
-59.5,96,12.322595
-57.1,72,12.369799
-58.0,81,12.413799
-55.9,60,12.440808
-57.5,76,12.479312
-55.5,56,12.507874
-55.2,53,12.536848
-56.6,67,12.566353
-56.1,62,12.612967
-55.3,54,12.640324
-59.8,99,12.691822
-57.1,72,12.733796
-54.6,47,12.763312
-60.6,107,12.841821
-61.2,113,12.896326
-55.1,52,12.931326
-58.5,86,12.977111
-56.7,68,13.015393
-54.4,45,13.039394
-55.2,53,13.064905
-60.0,101,13.1199
-56.4,65,13.159253
97.8,23,13.17197
-56.0,61,13.204743
-55.2,53,13.231748
-56.5,66,13.264256
-54.3,44,13.28626
-59.3,94,13.351674
-57.8,79,13.40231
-59.6,97,13.480818
97.9,22,13.494822
-55.8,59,13.531805
-58.9,90,13.60253
-56.5,66,13.645533
-57.7,78,13.697038
-58.0,81,13.755348
-57.2,73,13.79934
-60.2,103,13.852849
-62.9,130,13.921485
-54.3,44,13.948492
-58.2,83,13.99386
-55.0,51,14.019864
-56.4,65,14.060367
-61.4,115,14.122769
-60.6,107,14.177805
-55.3,54,14.205803
-55.4,55,14.233821
-55.9,60,14.261365
-60.6,107,14.317125
